ItemCode,ItemName,ForeignName,ItemsGroupCode,ItemType,PurchaseItem,SalesItem,InventoryItem,Manufacturer,ShipType,ManageSerialNumbers,ManageBatchNumbers,IsPhantom,ItemClass,MaterialType,NCMCode,ProductSource,PurchaseUnit,PurchaseItemsPerUnit,SalesUnit,SalesItemsPerUnit,InventoryUOM,MinInventory,MaxInventory,PlanningSystem,ProcurementMethod,OrderMultiple,MinOrderQuantity,LeadTime,User_Text,U_SKILL_CEST,U_SKILL_LisSer,U_SKILL_SerMun,
I568    ,LU RH F0365 Medicina e Seguranca do Trabalho - On Demand                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I569    ,LU F0365 Portal RH                                                                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I570    ,LU NG Folha  0 até 100 Funcionários / até 5 CNPJs                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I571    ,LU NG Folha  101 até 300 Funcionários / até 5 CNPJs                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I572    ,LU NG Folha  301 até 500 Funcionários / até 5 CNPJs                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I573    ,LU NG Folha  501 até 1000 Funcionários / até 5 CNPJs                                      ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I574    ,LU B1 Plus - On Premise                                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I575    ,LU B1 Up - On Premise                                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I577    ,LU Superabank - On Premise                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I578    ,LU Superabank - On Demand                                                                 ,,On Demand ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I579    ,Mensalidade LU Supera                                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I580    ,LU F0314 Apps                                                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I581    ,LU Siscomex - On Premise                                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I582    ,LU Siscomex - On Demand                                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I583    ,LU Siscoserv - On Premise                                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I584    ,LU Siscoserv - On Demand                                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I585    ,Mensalidade LU Siscomex                                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I586    ,Mensalidade LU Siscoserv                                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I587    ,Manutenção Anual - LU F0022 Professional                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I588    ,Manutenção Anual - LU F0022 Limited                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I589    ,Manutenção Anual - LU F0022 Indiretc Access                                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I590    ,Manutenção Anual - LU Health One Clinic                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I591    ,Manutenção Anual - LU Health One Hospital                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I592    ,Manutenção Anual - LU Build One                                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I593    ,Manutenção Anual - LU MS SQL por usuário                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I594    ,Manutenção Anual - LU MS SQL por CPU                                                      ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I595    ,Manutenção Anual - LU BankSync                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I596    ,Manutenção Anual - LU F0365                                                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I597    ,Manutenção Anual - LU B1 Plus                                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I599    ,Mensalidade Prontuário Web                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I600    ,Mensalidade NG Folha  0 até 100 Funcionários / até 5 CNPJs                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I601    ,Mensalidade NG Folha  101 até 300 Funcionários / até 5 CNPJs                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I602    ,Mensalidade NG Folha  301 até 500 Funcionários / até 5 CNPJs                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I603    ,Mensalidade NG Folha  501 até 1000 Funcionários / até 5 CNPJs                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I604    ,Mensalidade LU F0024  Combo 1 - (T1 + 1 produto) CNPJ Matriz                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I605    ,Mensalidade LU F0024 Combo 1 - (T1 + 1 produto) CNPJ Filial                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I606    ,Mensalidade LU F0024 Combo 1 - (T1 + 1 produto) CNPJ Coligada                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I607    ,Mensalidade LU F0024  Combo 2 - (T1 + 2 produtos) CNPJ Matriz                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I608    ,Mensalidade LU F0024 Combo 2 - (T1 + 2 produtos) CNPJ Filial                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I609    ,Mensalidade LU F0024 Combo 2 - (T1 + 2 produtos) CNPJ Coligada                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I610    ,Mensalidade LU F0024  Combo 3 - (T1 + 3 produtos) CNPJ Matriz                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I611    ,Mensalidade LU F0024 Combo 3 - (T1 + 3 produtos) CNPJ Filial                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I612    ,Mensalidade LU F0024 Combo 3 - (T1 + 3 produtos) CNPJ Coligada                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I613    ,Mensalidade LU F0024 Fiscal Triple One - CNPJ Matriz                                      ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I614    ,Mensalidade LU F0024 Fiscal Triple One - CNPJ Filial                                      ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I615    ,Mensalidade LU F0024 Fiscal Triple One - CNPJ Coligada                                    ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I616    ,Mensalidade LU F0024 Importador XML - CNPJ Matriz                                         ,,On Demand ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I617    ,Mensalidade LU F0024 Importador XML - CNPJ Filial                                         ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I618    ,Mensalidade LU F0024 Importador XML - CNPJ Coligada                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I620    ,Prestação de Serviços - Consultoria Avulsa                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,G2     ,SERVIÇOS       ,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I621    ,Prestação de Serviços - Suporte Avançado Health One                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I623    ,LU Health One Professional - On Premise (OEM)                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I624    ,LU Health One Limited - On Premise (OEM)                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I625    ,LU Health One Indirect Access - (OEM)                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I626    ,LU Build One Professional - On Premise (OEM)                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I627    ,LU Build One Limited - On Premise (OEM)                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I628    ,LU Build One Indirect Access - On Premise (OEM)                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I629    ,Manutenção Anual - LU Health One Professional - On Premise (OEM)                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I630    ,Manutenção Anual - LU Health One Limited - On Premise (OEM)                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I631    ,Manutenção Anual - LU Health One Indirect Access - On Premise (OEM)                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I632    ,Manutenção Anual - LU Build One Professional - On Premise (OEM)                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I633    ,Manutenção Anual - LU Build One Limited - On Premise (OEM)                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I634    ,Manutenção Anual - LU Build One Indirect Access - On Premise (OEM)                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I635    ,LU Get One On Demand                                                                      ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I636    ,Manutenção Mensal SAP Business One - SaaS                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I638    ,LU SAP B1 Back Office                                                                     ,,On Demand ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I639    ,LU SAP Serviços Banho e Tosa                                                              ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I640    ,LU F0022 Indirect Acess - OEM                                                             ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I641    ,LU F0022 Limited Logistic - OEM                                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I642    ,LU F0022 Limited CRM - PMC                                                                ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I643    ,LU F0022 Limited Financial - PMC                                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I644    ,LU F0022 - Trace One - Professional                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I645    ,LU SAP PDV                                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I646    ,LU F0022 Upgrade Professional - SaaS                                                      ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I647    ,Manutenção On Premise - INATIVO                                                           ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I648    ,Manutenção Triple One                                                                     ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I649    ,LU F0022 Limited CRM - OEM                                                                ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I650    ,LU F0022 Limited Financial - OEM                                                          ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I651    ,Papel Sulfite A4 - Rino (Gaveteiro)                                                       ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I652    ,Cola Bastão 20g                                                                           ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I653    ,Mensalidade LU F0024 Combo 7 - (T1 + 6 produtos) CNPJ Matriz                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I654    ,LU F0022 Limited Financial - On Premisse OEM                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I656    ,Manutenção Mensal - Intercompany                                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I657    ,Taxa de Manutenção                                                                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I659    ,?                                                                                         ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I660    ,?                                                                                         ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I661    ,LU F0024 - Combo Seven                                                                    ,,On Demand ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I664    ,LU Google                                                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I665    ,SAP Business One OEM License Agreement                                                    ,,Itens ,itItems,Sim         ,Não       ,Sim        ,SAP    ,,Não,Não,Não,Material,Produto Acabado,,"Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX",Unidade Monetaria,1,,1,,,,,,,,,,,,,
I666    ,LU F0022 Limited Logistic - On Premisse                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I667    ,LU F0022 Limited Financial - On Premisse                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I668    ,LU F0022 - Limited - On Premisse                                                          ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I669    ,LU F0022 Limited Logistic - PMC                                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I670    ,Manutenção PMC                                                                            ,,On Demand ,itItems,Sim         ,Sim       ,Não        ,SAP    ,,Não,Não,Não,Material,Matéria Prima,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I671    ,Prestação de Serviços - Desenvolvimento                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I672    ,Higienizador de assento KC 300MLX 2                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I673    ,LU Health One Limited - Logistic (OEM)                                                    ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I674    ,LU Health One Limited - Financial (OEM)                                                   ,,Itens ,itItems,Sim         ,Sim       ,Sim        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I675    ,HD SATA Purple 2TB 6GB/s IntelliPower 64MB - WD20PURX                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
